iter	Passed	Remaining
0	150	150425
1	156	78047
2	163	54319
3	165	41282
4	170	33853
5	174	28897
6	177	25248
7	179	22278
8	182	20055
9	184	18266
10	186	16749
11	187	15476
12	189	14396
13	190	13418
14	191	12599
15	192	11862
16	194	11237
17	195	10667
18	196	10158
19	198	9711
20	199	9294
21	200	8925
22	202	8585
23	203	8265
24	204	7971
25	205	7701
26	206	7448
27	207	7214
28	208	6993
29	209	6781
30	210	6591
31	212	6418
32	213	6253
33	214	6094
34	215	5954
35	217	5814
36	218	5682
37	219	5560
38	220	5438
39	221	5325
40	222	5215
41	224	5112
42	225	5012
43	226	4915
44	227	4824
45	228	4736
46	229	4653
47	230	4572
48	231	4494
49	232	4420
50	233	4349
51	234	4279
52	235	4215
53	237	4153
54	237	4086
55	238	4026
56	239	3968
57	241	3915
58	242	3863
59	243	3811
60	244	3762
61	245	3714
62	246	3668
63	247	3624
64	248	3580
65	250	3539
66	251	3498
67	252	3458
68	253	3418
69	254	3380
70	255	3345
71	256	3307
72	257	3272
73	258	3237
74	259	3204
75	260	3167
76	261	3135
77	262	3105
78	263	3076
79	264	3046
80	265	3016
81	266	2988
82	267	2960
83	269	2934
84	270	2907
85	271	2881
86	272	2856
87	273	2831
88	274	2807
89	275	2784
90	276	2764
91	277	2741
92	278	2720
93	280	2699
94	281	2679
95	282	2658
96	283	2638
97	284	2620
98	285	2602
99	287	2583
100	288	2565
101	289	2549
102	290	2533
103	292	2516
104	293	2500
105	294	2484
106	295	2470
107	297	2454
108	298	2438
109	299	2423
110	300	2406
111	301	2390
112	302	2376
113	303	2360
114	304	2345
115	306	2332
116	307	2317
117	308	2303
118	309	2290
119	310	2276
120	311	2263
121	312	2250
122	313	2237
123	315	2225
124	316	2213
125	317	2200
126	318	2186
127	319	2174
128	320	2162
129	321	2149
130	322	2138
131	323	2128
132	324	2117
133	326	2106
134	327	2095
135	328	2085
136	329	2074
137	330	2064
138	331	2055
139	333	2045
140	334	2036
141	335	2027
142	336	2017
143	337	2008
144	338	1998
145	340	1990
146	341	1981
147	342	1973
148	343	1964
149	345	1956
150	346	1947
151	347	1939
152	348	1929
153	349	1920
154	350	1912
155	351	1903
156	352	1895
157	354	1887
158	355	1878
159	356	1871
160	357	1862
161	358	1854
162	359	1846
163	360	1838
164	361	1829
165	362	1819
166	363	1811
167	364	1804
168	365	1797
169	366	1789
170	367	1783
171	368	1776
172	370	1768
173	371	1762
174	372	1755
175	373	1748
176	374	1741
177	375	1735
178	377	1729
179	378	1723
180	379	1716
181	380	1710
182	381	1703
183	382	1697
184	384	1692
185	385	1686
186	386	1680
187	387	1674
188	388	1668
189	389	1661
190	390	1655
191	391	1649
192	393	1643
193	394	1636
194	394	1630
195	395	1624
196	397	1618
197	398	1612
198	399	1607
199	400	1601
200	401	1597
201	403	1592
202	404	1587
203	405	1583
204	407	1578
205	408	1573
206	409	1567
207	410	1562
208	411	1557
209	412	1552
210	413	1548
211	415	1542
212	416	1538
213	417	1533
214	418	1528
215	419	1523
216	420	1518
217	422	1514
218	423	1509
219	424	1504
220	425	1499
221	426	1495
222	427	1490
223	428	1485
224	430	1481
225	431	1476
226	432	1473
227	433	1468
228	435	1464
229	436	1460
230	437	1455
231	438	1450
232	439	1446
233	440	1442
234	441	1437
235	442	1432
236	443	1428
237	444	1423
238	445	1419
239	446	1415
240	448	1411
241	449	1407
242	450	1403
243	451	1399
244	452	1393
245	453	1389
246	454	1385
247	455	1381
248	456	1376
249	457	1372
250	458	1368
251	459	1364
252	460	1360
253	461	1356
254	462	1352
255	464	1348
256	465	1344
257	466	1341
258	467	1337
259	468	1333
260	469	1329
261	470	1325
262	471	1321
263	472	1318
264	473	1314
265	475	1310
266	476	1307
267	477	1304
268	478	1301
269	480	1298
270	481	1295
271	482	1291
272	483	1287
273	484	1284
274	485	1280
275	486	1277
276	488	1273
277	489	1270
278	490	1266
279	491	1262
280	492	1259
281	493	1256
282	494	1253
283	495	1250
284	496	1246
285	498	1243
286	499	1240
287	500	1237
288	501	1234
289	502	1230
290	503	1227
291	505	1224
292	506	1221
293	507	1218
294	508	1215
295	509	1212
296	510	1208
297	511	1205
298	513	1202
299	514	1199
300	515	1196
301	516	1194
302	517	1191
303	519	1188
304	520	1185
305	521	1182
306	522	1179
307	523	1176
308	524	1172
309	525	1169
310	526	1166
311	527	1163
312	528	1160
313	529	1157
314	531	1154
315	532	1151
316	533	1149
317	534	1146
318	535	1143
319	536	1140
320	537	1137
321	538	1134
322	540	1131
323	541	1129
324	542	1126
325	543	1123
326	544	1121
327	546	1118
328	547	1116
329	548	1113
330	549	1111
