iter	Logloss
0	0.684453631
1	0.6754468817
2	0.667135339
3	0.6590710857
4	0.6507581221
5	0.6432943921
6	0.6356303347
7	0.6277763275
8	0.618666947
9	0.6098978149
10	0.601732258
11	0.5935018674
12	0.5867790694
13	0.5817542749
14	0.5745025028
15	0.5688374528
16	0.5622135433
17	0.5570941277
18	0.552129175
19	0.5468908012
20	0.5413482658
21	0.5357495917
22	0.5311741995
23	0.5267205163
24	0.5209692654
25	0.5156112411
26	0.5110562726
27	0.5059484226
28	0.5026151569
29	0.4996532713
30	0.496575561
31	0.4917739277
32	0.4879280458
33	0.4846096277
34	0.4800835909
35	0.477147719
36	0.4734156808
37	0.4703880613
38	0.4679657803
39	0.4647562254
40	0.4605698145
41	0.4566819596
42	0.4544962359
43	0.4509618757
44	0.4482491623
45	0.4460269152
46	0.4436337712
47	0.440865587
48	0.4389047638
49	0.4363111502
50	0.4342987419
51	0.4317744627
52	0.4297064545
53	0.4278235615
54	0.4258639481
55	0.423475914
56	0.4217647084
57	0.4202614986
58	0.4184586412
59	0.4167752007
60	0.4153815619
61	0.413343085
62	0.4113923483
63	0.4093964022
64	0.4079178488
65	0.405689041
66	0.4037483857
67	0.4022511557
68	0.4004338891
69	0.3991567294
70	0.3979197406
71	0.3970003944
72	0.3957654489
73	0.3945703448
74	0.3936877512
75	0.3931070038
76	0.391945314
77	0.3907948968
78	0.3892844511
79	0.3882301759
80	0.3874824551
81	0.3857563221
82	0.3846976396
83	0.3833438306
84	0.3821551852
85	0.3811626801
86	0.3802197215
87	0.3790353673
88	0.3784799478
89	0.3774493238
90	0.3765935732
91	0.3759287984
92	0.3753994986
93	0.3746858837
94	0.3739874628
95	0.3732759403
96	0.3726159207
97	0.3719273175
98	0.3711338584
99	0.3698729838
100	0.3690926155
101	0.3683062639
102	0.3673709493
103	0.3666351809
104	0.3660587842
105	0.3648869731
106	0.3638137207
107	0.3634451085
108	0.3628693838
109	0.3622647486
110	0.3617205936
111	0.3606956673
112	0.3598073193
113	0.35913041
114	0.35851237
115	0.3578787172
116	0.3574052369
117	0.3568554186
118	0.3563731526
119	0.3556790246
120	0.3548208789
121	0.3541723753
122	0.3535955337
123	0.3529482986
124	0.3525181357
125	0.3520635845
126	0.3516118748
127	0.3510864654
128	0.3506645137
129	0.3501658977
130	0.3494006828
131	0.3488828266
132	0.3483723139
133	0.3478332757
134	0.3470867086
135	0.346446385
136	0.3458888471
137	0.3454918591
138	0.3450504067
139	0.3447433139
140	0.3444029645
141	0.3440559154
142	0.3436311878
143	0.3430768436
144	0.3428086956
145	0.3425486852
146	0.342018991
147	0.3415819934
148	0.340910248
149	0.3405462331
150	0.3401491913
151	0.3396198272
152	0.3389603958
153	0.3387970667
154	0.3384094411
155	0.3381777672
156	0.337815219
157	0.337453305
158	0.3371590005
159	0.3368606664
160	0.336521589
161	0.3359264681
162	0.3355973654
163	0.3353520289
164	0.3350089812
165	0.3349487759
166	0.3346056184
167	0.334285096
168	0.3339673885
169	0.3336278315
170	0.3333565492
171	0.3329574866
172	0.3324140005
173	0.3320630645
174	0.3316623061
175	0.3311397992
176	0.3308875216
177	0.3305714458
178	0.3302861935
179	0.3299811109
180	0.3295998712
181	0.3294476317
182	0.3291368091
183	0.3288317938
184	0.3284961991
185	0.3282627201
186	0.3278774458
187	0.3277375979
188	0.3273587407
189	0.3270621483
190	0.326866734
191	0.3267348075
192	0.3265192806
193	0.3262264588
194	0.3261250537
195	0.3257906242
196	0.3254539658
197	0.3252003115
198	0.3249532622
199	0.3245769982
200	0.3244580898
201	0.3242910527
202	0.3241672776
203	0.3236432422
204	0.3231700686
205	0.3229663028
206	0.322455088
207	0.3221626396
208	0.3218662921
209	0.3215443334
210	0.3213547586
211	0.3210869572
212	0.3207517433
213	0.3205086761
214	0.3203200829
215	0.3201226107
216	0.3199277239
217	0.3196910423
218	0.3194777479
219	0.3192678392
220	0.3190129409
221	0.3187756183
222	0.3184929856
223	0.3182052862
224	0.3179730765
225	0.3175610527
226	0.3172858415
227	0.316997336
228	0.3166230918
229	0.3163348595
230	0.3161932776
231	0.3159112042
232	0.3156864467
233	0.3153659356
234	0.3152215989
235	0.3151279045
236	0.3148767357
237	0.3148160006
238	0.3143714318
239	0.3141617249
240	0.313962872
241	0.3137732399
242	0.3135691859
243	0.3132781107
244	0.3132100462
245	0.3129953326
246	0.312845116
247	0.3124540754
248	0.3122527076
249	0.3119470492
250	0.3115975426
251	0.3114257793
252	0.3110289116
253	0.3108789143
254	0.310597671
255	0.3102454899
256	0.3099826333
257	0.3097231221
258	0.3095546722
259	0.3093759029
260	0.3091578806
261	0.3090387503
262	0.3088780388
263	0.3086501789
264	0.3084093042
265	0.3082814733
266	0.3081209035
267	0.307857749
268	0.3076375169
269	0.3074511653
270	0.3070415801
271	0.3068418539
272	0.3067502317
273	0.3066028463
274	0.3063323959
275	0.3060434222
276	0.3058328536
277	0.3056794115
278	0.3054295571
279	0.3052412649
280	0.3048200261
281	0.3046609827
282	0.304346968
283	0.3042153178
284	0.3039020781
285	0.3035134763
286	0.3033333217
287	0.30310366
288	0.3028962329
289	0.3026043673
290	0.3024905704
291	0.3023990331
292	0.3022247819
293	0.3020782946
294	0.3018765603
295	0.3017526447
296	0.301610084
297	0.3014995696
298	0.3013108385
299	0.3009380817
300	0.3008340923
301	0.3005258918
302	0.3003298952
303	0.3001234753
304	0.2998306151
305	0.2995510021
306	0.2993476937
307	0.2991568731
308	0.2989094245
309	0.298728063
310	0.2985414213
311	0.2983718414
312	0.2981779019
313	0.2980822144
314	0.2978456894
315	0.2976226056
316	0.297246185
317	0.2971020471
318	0.2969189929
319	0.2966279668
320	0.2964090958
321	0.2961788001
322	0.2959552737
323	0.2957384525
324	0.2955639175
325	0.2953093604
326	0.2950821837
327	0.2949768826
328	0.2948399125
329	0.2946035681
330	0.2944095731
331	0.2942473547
332	0.2940438117
333	0.2939124616
334	0.2935919274
335	0.2934612543
336	0.2929501895
337	0.2927688486
338	0.2926306942
339	0.292512027
340	0.2922509956
341	0.2921347107
342	0.2918424585
343	0.2916922258
344	0.2915834836
345	0.2913198865
346	0.2911018875
347	0.2909170037
348	0.2908627157
349	0.2907011217
350	0.2903534219
351	0.2902837089
352	0.2899437595
353	0.2896536616
354	0.2893611388
